time_step,flow,speed,occupancy
0,15.0,0.0048,67.2
1,26.0,0.0061,67.8
2,18.0,0.0041,66.2
3,54.0,0.0134,67.3
4,40.0,0.0101,68.0
5,56.0,0.013000000000000001,68.4
6,39.0,0.01,68.4
7,69.0,0.0158,67.9
8,60.0,0.0145,67.6
9,51.0,0.0121,68.3
10,61.0,0.013999999999999999,68.0
11,52.0,0.013000000000000001,67.4
12,43.0,0.01,67.6
13,41.0,0.0094,67.9
14,59.0,0.013999999999999999,67.5
15,38.0,0.0092,67.6
16,27.0,0.0064,67.6
17,44.0,0.0103,67.9
18,53.0,0.0127,68.5
19,37.0,0.0085,68.4
20,37.0,0.0086,67.9
21,33.0,0.0075,68.0
22,27.0,0.0064,67.2
23,22.0,0.0051,67.7
24,17.0,0.0038,67.6
25,26.0,0.0061,67.9
26,31.0,0.0072,68.5
27,39.0,0.0095,67.5
28,33.0,0.009000000000000001,66.5
29,19.0,0.0043,67.2
30,37.0,0.0085,67.9
31,31.0,0.0074,66.4
32,19.0,0.0045,68.1
33,22.0,0.0051,68.0
34,28.0,0.0067,67.9
35,14.0,0.0034,65.7
36,26.0,0.0059,67.5
37,23.0,0.0054,67.6
38,19.0,0.0045,67.8
39,15.0,0.0035,66.7
40,18.0,0.0045,66.4
41,19.0,0.0046,66.8
42,12.0,0.0034,69.1
43,14.0,0.0054,65.4
44,17.0,0.0039,67.6
45,14.0,0.0033,67.5
46,19.0,0.0042,69.3
47,16.0,0.0039,67.2
48,8.0,0.0018,65.6
49,10.0,0.0023,67.9
50,8.0,0.0026,66.2
51,11.0,0.0032,64.1
52,8.0,0.002,65.1
53,10.0,0.0025,67.5
54,11.0,0.0024,68.9
55,12.0,0.0029,68.3
56,12.0,0.0029,66.4
57,18.0,0.0041,66.3
58,20.0,0.0052,66.3
59,14.0,0.0035,66.9
60,6.0,0.0013,66.6
61,10.0,0.0025,68.5
62,7.0,0.0023,69.2
63,6.0,0.0015,68.8
64,10.0,0.0024,67.0
65,8.0,0.0026,67.1
66,6.0,0.0013,69.2
67,11.0,0.0027,66.7
68,8.0,0.0018,66.2
69,17.0,0.0042,68.5
70,15.0,0.0035,67.5
71,20.0,0.0053,67.0
72,12.0,0.0032,66.6
73,18.0,0.0049,66.3
74,19.0,0.0043,67.7
75,15.0,0.0032,68.7
76,16.0,0.0039,68.4
77,21.0,0.0059,66.3
78,26.0,0.0061,67.6
79,24.0,0.0056,68.8
80,17.0,0.0043,67.1
81,34.0,0.0074,67.7
82,25.0,0.0072,67.2
83,21.0,0.0064,65.5
84,26.0,0.0063,67.0
85,19.0,0.0048,67.4
86,28.0,0.0069,67.7
87,29.0,0.009000000000000001,64.9
88,24.0,0.0054,67.2
89,21.0,0.005,65.8
90,33.0,0.0075,66.6
91,31.0,0.0071,67.2
92,45.0,0.0106,67.2
93,36.0,0.0083,66.9
94,47.0,0.0116,67.7
95,40.0,0.01,67.0
96,36.0,0.0088,67.0
97,43.0,0.0111,66.9
98,36.0,0.0079,66.8
99,39.0,0.0096,67.8
100,26.0,0.0064,66.9
101,48.0,0.0106,67.2
102,38.0,0.0088,67.2
103,37.0,0.0094,67.0
104,54.0,0.0121,67.4
105,56.0,0.0128,67.2
106,40.0,0.0101,66.6
107,57.0,0.0145,67.8
108,52.0,0.0129,66.8
109,52.0,0.0124,66.5
110,54.0,0.012,67.4
111,52.0,0.0137,66.8
112,52.0,0.0115,66.8
113,61.0,0.0156,67.1
114,53.0,0.0119,67.7
115,56.0,0.0135,67.1
116,78.0,0.0179,67.3
117,68.0,0.0161,67.0
118,78.0,0.0185,67.7
119,72.0,0.0177,66.3
120,64.0,0.015,67.0
121,82.0,0.0184,68.0
122,88.0,0.0213,67.8
123,73.0,0.0162,67.7
124,87.0,0.0194,68.7
125,78.0,0.0178,68.8
126,94.0,0.0223,68.1
127,97.0,0.0227,67.3
128,105.0,0.0248,67.0
129,110.0,0.0263,67.5
130,75.0,0.0184,67.1
131,117.0,0.0282,66.7
132,91.0,0.0226,66.3
133,118.0,0.0266,68.5
134,102.0,0.0238,68.0
135,95.0,0.0226,67.3
136,69.0,0.0171,68.2
137,140.0,0.0325,68.3
138,125.0,0.0293,67.6
139,128.0,0.03,67.9
140,150.0,0.0359,66.8
141,125.0,0.0286,67.5
142,154.0,0.0367,66.4
143,131.0,0.0309,67.0
144,150.0,0.035,67.9
145,138.0,0.0331,66.8
146,138.0,0.0319,67.7
147,146.0,0.0341,67.0
148,111.0,0.0266,67.3
149,35.0,0.008,67.4
150,135.0,0.0331,67.1
151,144.0,0.0327,67.8
152,121.0,0.0283,68.0
153,120.0,0.0277,68.2
154,138.0,0.0316,68.5
155,114.0,0.026000000000000002,68.3
156,137.0,0.0316,68.0
157,143.0,0.0331,68.1
158,151.0,0.0348,68.1
159,120.0,0.027999999999999997,68.0
160,194.0,0.0458,67.6
161,184.0,0.0418,68.0
162,169.0,0.0391,68.2
163,144.0,0.0329,68.4
164,181.0,0.0426,67.5
165,162.0,0.0378,67.5
166,149.0,0.0351,67.4
167,178.0,0.0416,67.2
168,171.0,0.0406,67.1
169,150.0,0.035,67.5
170,142.0,0.0327,68.3
171,141.0,0.0327,68.2
172,144.0,0.0329,68.4
173,163.0,0.037000000000000005,68.5
174,146.0,0.0342,68.1
175,155.0,0.0374,67.0
176,175.0,0.0395,68.4
177,132.0,0.0303,68.7
178,133.0,0.0312,67.8
179,141.0,0.0318,68.3
180,161.0,0.0363,69.0
181,121.0,0.0278,68.4
182,168.0,0.0383,68.3
183,157.0,0.0367,67.7
184,141.0,0.032,68.4
185,107.0,0.0263,67.3
186,172.0,0.0385,68.5
187,113.0,0.0259,68.3
188,134.0,0.0309,68.1
189,143.0,0.033,68.1
190,129.0,0.0296,68.3
191,184.0,0.0421,67.9
192,107.0,0.0252,68.4
193,147.0,0.0339,67.8
194,143.0,0.033,68.0
195,149.0,0.0328,69.0
196,136.0,0.0305,69.4
197,154.0,0.0357,68.7
198,155.0,0.0355,68.2
199,126.0,0.0286,68.6
200,159.0,0.0376,67.5
201,113.0,0.0261,67.4
202,160.0,0.0363,68.1
203,115.0,0.0268,67.8
204,141.0,0.0318,68.9
205,148.0,0.0337,69.4
206,121.0,0.0283,68.8
207,101.0,0.0235,68.5
208,131.0,0.0298,69.3
209,132.0,0.0318,67.9
210,128.0,0.0308,67.2
211,115.0,0.0274,68.3
212,18.0,0.0042,68.8
213,88.0,0.0204,68.7
214,120.0,0.0291,67.7
215,128.0,0.0307,67.5
216,97.0,0.0244,67.1
217,87.0,0.0202,68.1
218,74.0,0.0177,68.2
219,94.0,0.0219,68.8
220,123.0,0.0288,68.3
221,101.0,0.0235,68.7
222,93.0,0.0217,68.6
223,100.0,0.023,69.1
224,130.0,0.0297,69.1
225,136.0,0.0322,68.3
226,62.0,0.0149,68.3
227,107.0,0.0246,68.8
228,81.0,0.0191,67.9
229,100.0,0.023,68.2
230,78.0,0.0179,68.5
231,106.0,0.0251,68.8
232,104.0,0.0234,68.6
233,86.0,0.0203,68.2
234,94.0,0.022000000000000002,68.3
235,70.0,0.0165,68.3
236,106.0,0.0243,68.9
237,65.0,0.0148,68.8
238,101.0,0.0261,66.9
239,89.0,0.0203,68.2
240,54.0,0.0124,68.8
241,67.0,0.0154,68.5
242,75.0,0.0176,69.0
243,70.0,0.017,68.7
244,90.0,0.0212,67.8
245,81.0,0.0201,67.8
246,66.0,0.0152,69.1
247,74.0,0.0177,67.9
248,77.0,0.0176,68.4
249,58.0,0.0138,68.2
250,47.0,0.0106,67.8
251,51.0,0.0119,68.4
252,63.0,0.0149,68.2
253,71.0,0.0177,68.2
254,59.0,0.0136,68.7
255,54.0,0.0137,67.7
256,59.0,0.013999999999999999,68.2
257,70.0,0.0168,67.7
258,50.0,0.0114,68.3
259,60.0,0.0137,69.2
260,59.0,0.0144,67.4
261,52.0,0.0137,67.7
262,55.0,0.0149,67.3
263,39.0,0.0099,67.0
264,39.0,0.0095,68.1
265,53.0,0.0131,67.6
266,54.0,0.0133,67.2
267,42.0,0.0104,67.9
268,35.0,0.0085,68.6
269,29.0,0.0079,66.2
270,45.0,0.0113,66.7
271,27.0,0.0077,68.3
272,41.0,0.0099,67.8
273,47.0,0.0118,68.6
274,40.0,0.0095,67.7
275,32.0,0.0074,67.6
276,26.0,0.0059,67.5
277,25.0,0.0067,67.6
278,25.0,0.0066,67.1
279,35.0,0.008,67.9
280,35.0,0.0084,67.0
281,30.0,0.0077,68.1
282,33.0,0.0084,66.9
283,23.0,0.0057,67.1
284,31.0,0.008,67.6
285,19.0,0.0053,68.5
286,16.0,0.0038,68.1
287,28.0,0.0061,68.3
288,27.0,0.0068,67.2
289,28.0,0.0061,68.1
290,17.0,0.0038,67.1
291,12.0,0.0027,66.6
292,11.0,0.0034,66.4
293,17.0,0.0045,67.6
294,17.0,0.0046,68.1
295,17.0,0.0047,66.9
296,20.0,0.0045,68.1
297,23.0,0.0064,67.2
298,11.0,0.0039,67.6
299,9.0,0.0022,65.8
300,13.0,0.0031,65.8
301,9.0,0.0034,66.4
302,14.0,0.0046,67.4
303,10.0,0.0035,67.2
304,7.0,0.0018,66.9
305,10.0,0.0023,68.8
306,8.0,0.0025,64.8
307,12.0,0.0034,68.3
308,6.0,0.0018,68.0
309,9.0,0.0036,67.5
310,15.0,0.0072,65.3
311,5.0,0.001,66.9
312,4.0,0.0017,63.8
313,3.0,0.0014,61.9
314,6.0,0.0014,68.6
315,9.0,0.0021,66.8
316,13.0,0.003,68.5
317,11.0,0.0059,64.6
318,18.0,0.0045,67.3
319,11.0,0.0038,65.8
320,11.0,0.0026,65.4
321,6.0,0.002,65.0
322,11.0,0.0032,64.8
323,3.0,0.0007,67.6
324,8.0,0.0021,67.2
325,8.0,0.0039,63.8
326,10.0,0.0035,66.9
327,6.0,0.0017,66.0
328,14.0,0.005,64.8
329,18.0,0.0056,68.4
330,12.0,0.0042,66.7
331,13.0,0.0044,66.9
332,14.0,0.0036,65.5
333,17.0,0.0041,66.3
334,21.0,0.0047,68.3
335,13.0,0.0036,67.3
336,17.0,0.0053,66.4
337,12.0,0.0029,66.3
338,15.0,0.0045,67.5
339,18.0,0.0061,65.4
340,13.0,0.0037,67.6
341,16.0,0.0056,65.7
342,21.0,0.0057,66.3
343,37.0,0.011000000000000001,66.6
344,33.0,0.0087,67.1
345,34.0,0.01,66.2
346,43.0,0.0108,67.3
