time_step,flow,speed,occupancy,split,z_flow,z_speed,z_occupancy,is_anomaly,sensor_id
0,15.0,0.0048,67.2,train,-1.258582058274993,-1.1557315290954975,0.39989808176179287,0,278
1,26.0,0.0061,67.8,train,-1.1340641657305117,-1.1026568564607369,0.6075703762374751,0,278
2,18.0,0.0041,66.2,train,-1.224622633035589,-1.1843101989757532,0.05377759096898585,0,278
3,54.0,0.0134,67.3,train,-0.8171095301627415,-0.8046221562809276,0.4345101308410716,0,278
4,40.0,0.0101,68.0,train,-0.9755868479466266,-0.9393501714307045,0.6767944743960375,0,278
5,56.0,0.013,68.4,train,-0.7944699133364722,-0.820952824783931,0.8152426707131623,0,278
6,39.0,0.01,68.4,train,-0.9869066563597613,-0.9434328385564552,0.8152426707131623,0,278
7,69.0,0.0158,67.9,train,-0.6473124039657216,-0.7066381452629081,0.6421824253167587,0,278
8,60.0,0.0145,67.6,train,-0.7491906796839336,-0.7597128178976688,0.5383462780789127,0,278
9,51.0,0.0121,68.3,train,-0.8510689554021454,-0.8576968289156882,0.7806306216338785,0,278
10,61.0,0.0139999999999999,68.0,train,-0.7378708712707989,-0.7801261535264268,0.6767944743960375,0,278
11,52.0,0.013,67.4,train,-0.8397491469890108,-0.820952824783931,0.4691221799203552,0,278
12,43.0,0.01,67.6,train,-0.9416274227072227,-0.9434328385564552,0.5383462780789127,0,278
13,41.0,0.0094,67.9,train,-0.9642670395334919,-0.9679288413109602,0.6421824253167587,0,278
14,59.0,0.0139999999999999,67.5,train,-0.7605104880970682,-0.7801261535264268,0.5037342289996339,0,278
15,38.0,0.0092,67.6,train,-0.9982264647728959,-0.9760941755624618,0.5383462780789127,0,278
16,27.0,0.0064,67.6,train,-1.122744357317377,-1.0904088550834845,0.5383462780789127,0,278
17,44.0,0.0103,67.9,train,-0.930307614294088,-0.9311848371792029,0.6421824253167587,0,278
18,53.0,0.0127,68.5,train,-0.8284293385758761,-0.8332008261611834,0.849854719792441,0,278
19,37.0,0.0085,68.4,train,-1.0095462731860305,-1.0046728454427174,0.8152426707131623,0,278
20,37.0,0.0086,67.9,train,-1.0095462731860305,-1.0005901783169666,0.6421824253167587,0,278
21,33.0,0.0075,68.0,train,-1.0548255068385692,-1.0454995167002257,0.6767944743960375,0,278
22,27.0,0.0064,67.2,train,-1.122744357317377,-1.0904088550834845,0.39989808176179287,0,278
23,22.0,0.0051,67.7,train,-1.1793433993830502,-1.1434835277182451,0.5729583271581964,0,278
24,17.0,0.0038,67.6,train,-1.2359424414487237,-1.1965582003530055,0.5383462780789127,0,278
25,26.0,0.0061,67.9,train,-1.1340641657305117,-1.1026568564607369,0.6421824253167587,0,278
26,31.0,0.0072,68.5,train,-1.0774651236648385,-1.057747518077478,0.849854719792441,0,278
27,39.0,0.0095,67.5,train,-0.9869066563597613,-0.9638461741852092,0.5037342289996339,0,278
