time_step,flow,occupancy,speed,split,z_flow,z_occupancy,z_speed,is_anomaly,sensor_id
0,44.0,0.0062,67.3,train,-1.3089061336788521,-1.3019273478859599,0.7413241191196107,0,71
1,46.0,0.0069999999999999,67.0,train,-1.297280114139284,-1.2733651043415148,0.6579392646828014,0,71
2,37.0,0.0053,66.3,train,-1.34959720206734,-1.3340598718734644,0.46337460433024363,0,71
3,56.0,0.0079,66.2,train,-1.2391500164414444,-1.2412325803540065,0.4355796528513085,0,71
4,88.0,0.0128,66.6,train,-1.053133703808357,-1.0662888386442597,0.546759458767053,0,71
5,87.0,0.012,67.3,train,-1.058946713578141,-1.094851082188708,0.7413241191196107,0,71
6,86.0,0.0119,66.6,train,-1.0647597233479251,-1.098421362631764,0.546759458767053,0,71
7,96.0,0.0135,67.2,train,-1.0066296256500853,-1.041296875542867,0.7135291676406756,0,71
8,102.0,0.0148,67.4,train,-0.9717515670313814,-0.9948832297831383,0.7691190705985499,0,71
9,121.0,0.0171,66.9,train,-0.8613043814054858,-0.9127667795928488,0.6301443132038663,0,71
10,135.0,0.0192,66.8,train,-0.7799222446285102,-0.8377908902886716,0.6023493617249271,0,71
11,122.0,0.017,67.8,train,-0.8554913716357019,-0.9163370600359049,0.8802988765142943,0,71
12,127.0,0.0175,67.5,train,-0.826426322786782,-0.8984856578206245,0.796914022077485,0,71
13,149.0,0.0217,66.7,train,-0.6985401078515345,-0.7485338792122699,0.5745544102459921,0,71
14,147.0,0.021,66.6,train,-0.7101661273911025,-0.7735258423136624,0.546759458767053,0,71
15,127.0,0.0184,66.3,train,-0.826426322786782,-0.8663531338331201,0.46337460433024363,0,71
16,134.0,0.0191,66.8,train,-0.7857352543982942,-0.8413611707317277,0.6023493617249271,0,71
17,120.0,0.0169,67.0,train,-0.8671173911752699,-0.919907340478961,0.6579392646828014,0,71
18,114.0,0.0164,67.0,train,-0.9019954497939737,-0.9377587426942413,0.6579392646828014,0,71
19,115.0,0.0161,67.2,train,-0.8961824400241897,-0.9484695840234095,0.7135291676406756,0,71
20,111.0,0.0158,67.0,train,-0.9194344791033257,-0.9591804253525776,0.6579392646828014,0,71
21,102.0,0.0144,67.3,train,-0.9717515670313814,-1.0091643515553625,0.7413241191196107,0,71
22,96.0,0.0132,67.4,train,-1.0066296256500853,-1.0520077168720354,0.7691190705985499,0,71
23,96.0,0.0137,67.7,train,-1.0066296256500853,-1.034156314656755,0.8525039250353592,0,71
24,86.0,0.0118,67.5,train,-1.0647597233479251,-1.1019916430748202,0.796914022077485,0,71
25,88.0,0.012,67.7,train,-1.053133703808357,-1.094851082188708,0.8525039250353592,0,71
26,81.0,0.0112,68.2,train,-1.0938247721968448,-1.1234133257331564,0.9914786824300428,0,71
27,73.0,0.0107,67.8,train,-1.1403288503551168,-1.141264727948437,0.8802988765142943,0,71
28,63.0,0.009,67.6,train,-1.1984589480529564,-1.20195949548039,0.8247089735564201,0,71
29,70.0,0.0093,68.2,train,-1.1577678796644686,-1.1912486541512217,0.9914786824300428,0,71
30,73.0,0.0106,66.9,train,-1.1403288503551168,-1.144835008391493,0.6301443132038663,0,71
31,63.0,0.0088,67.6,train,-1.1984589480529564,-1.209100056366502,0.8247089735564201,0,71
32,68.0,0.0096,67.3,train,-1.1693938992040367,-1.1805378128220536,0.7413241191196107,0,71
33,68.0,0.0091,67.6,train,-1.1693938992040367,-1.198389215037334,0.8247089735564201,0,71
34,50.0,0.0073,67.0,train,-1.2740280750601483,-1.262654263012343,0.6579392646828014,0,71
35,50.0,0.0072,67.7,train,-1.2740280750601483,-1.2662245434553991,0.8525039250353592,0,71
36,43.0,0.0057,68.1,train,-1.314719143448636,-1.3197787501012401,0.9636837309511037,0,71
37,52.0,0.0072,67.7,train,-1.2624020555205802,-1.2662245434553991,0.8525039250353592,0,71
38,46.0,0.0069999999999999,67.4,train,-1.297280114139284,-1.2733651043415148,0.7691190705985499,0,71
39,38.0,0.0051,66.5,train,-1.343784192297556,-1.3412004327595763,0.5189645072881178,0,71
40,41.0,0.0057,67.8,train,-1.326345162988204,-1.3197787501012401,0.8802988765142943,0,71
41,35.0,0.0049,67.4,train,-1.3612232216069078,-1.3483409936456885,0.7691190705985499,0,71
42,27.0,0.004,67.1,train,-1.4077272997651795,-1.380473517633193,0.6857342161617366,0,71
43,48.0,0.0069999999999999,67.2,train,-1.2856540945997161,-1.2733651043415148,0.7135291676406756,0,71
44,36.0,0.0053,66.8,train,-1.3554102118371238,-1.3340598718734644,0.6023493617249271,0,71
45,30.0,0.0047,67.4,train,-1.3902882704558277,-1.3554815545318006,0.7691190705985499,0,71
46,37.0,0.0061,66.1,train,-1.34959720206734,-1.3054976283290158,0.4077847013723694,0,71
47,43.0,0.0059,67.2,train,-1.314719143448636,-1.3126381892151278,0.7135291676406756,0,71
48,26.0,0.0039,67.4,train,-1.4135403095349637,-1.3840437980762492,0.7691190705985499,0,71
49,30.0,0.0042,67.8,train,-1.3902882704558277,-1.373332956747081,0.8802988765142943,0,71
50,24.0,0.0032,68.1,train,-1.4251663290745316,-1.4090357611776416,0.9636837309511037,0,71
51,36.0,0.005,67.8,train,-1.3554102118371238,-1.3447707132026325,0.8802988765142943,0,71
52,25.0,0.0041,66.5,train,-1.4193533193047476,-1.376903237190137,0.5189645072881178,0,71
53,30.0,0.0053,65.7,train,-1.3902882704558277,-1.3340598718734644,0.29660489545662494,0,71
54,28.0,0.0037,67.2,train,-1.4019142899953956,-1.3911843589623614,0.7135291676406756,0,71
55,28.0,0.004,67.0,train,-1.4019142899953956,-1.380473517633193,0.6579392646828014,0,71
56,32.0,0.0043,67.2,train,-1.3786622509162598,-1.369762676304025,0.7135291676406756,0,71
57,27.0,0.0037,66.3,train,-1.4077272997651795,-1.3911843589623614,0.46337460433024363,0,71
58,21.0,0.0028,66.9,train,-1.4426053583838834,-1.423316882949866,0.6301443132038663,0,71
59,33.0,0.0045,67.6,train,-1.3728492411464757,-1.362622115417913,0.8247089735564201,0,71
60,32.0,0.0046,67.5,train,-1.3786622509162598,-1.3590518349748568,0.796914022077485,0,71
61,33.0,0.0049,67.0,train,-1.3728492411464757,-1.3483409936456885,0.6579392646828014,0,71
62,37.0,0.0057,67.1,train,-1.34959720206734,-1.3197787501012401,0.6857342161617366,0,71
63,27.0,0.004,66.2,train,-1.4077272997651795,-1.380473517633193,0.4355796528513085,0,71
64,22.0,0.0029,67.8,train,-1.4367923486140994,-1.41974660250681,0.8802988765142943,0,71
65,28.0,0.0039,68.0,train,-1.4019142899953956,-1.3840437980762492,0.9358887794721685,0,71
66,36.0,0.0051,67.5,train,-1.3554102118371238,-1.3412004327595763,0.796914022077485,0,71
67,24.0,0.0033,66.8,train,-1.4251663290745316,-1.4054654807345857,0.6023493617249271,0,71
68,41.0,0.0058,67.2,train,-1.326345162988204,-1.316208469658184,0.7135291676406756,0,71
69,31.0,0.0047,67.7,train,-1.3844752606860438,-1.3554815545318006,0.8525039250353592,0,71
70,39.0,0.0058,67.0,train,-1.3379711825277718,-1.316208469658184,0.6579392646828014,0,71
71,47.0,0.0074,67.3,train,-1.2914671043695,-1.2590839825692868,0.7413241191196107,0,71
72,31.0,0.0044,67.1,train,-1.3844752606860438,-1.3661923958609687,0.6857342161617366,0,71
73,43.0,0.0056,68.5,train,-1.314719143448636,-1.323349030544296,1.0748635368668522,0,71
74,27.0,0.0038,68.1,train,-1.4077272997651795,-1.3876140785193054,0.9636837309511037,0,71
75,28.0,0.0042,66.5,train,-1.4019142899953956,-1.373332956747081,0.5189645072881178,0,71
76,43.0,0.0059,67.3,train,-1.314719143448636,-1.3126381892151278,0.7413241191196107,0,71
77,53.0,0.0086,66.9,train,-1.2565890457507962,-1.2162406172526143,0.6301443132038663,0,71
78,42.0,0.0058,68.0,train,-1.32053215321842,-1.316208469658184,0.9358887794721685,0,71
79,46.0,0.0069,67.9,train,-1.297280114139284,-1.2769353847845673,0.9080938279932335,0,71
